measure,pattern,diff_during_pre,se_during_pre,p_during_pre,diff_after_pre,se_after_pre,p_after_pre,diff_after_during,se_after_during,p_after_during,diff_during_after,se_during_after,p_during_after,mean_pre,n_pre,mean_during,n_during,mean_after,n_after
ppron,Mid/After > Pre,0.46374114698650964,0.2039966442930324,0.011562521719908474,0.2976216054582275,0.20917723388903603,0.07747949327603075,-0.16611954152828212,0.1809697812076674,0.17938551662502272,0.16611954152828212,0.1809697812076674,0.17938551662502272,9.273036176064824,446,9.820443974520321,731,9.60238217955357,653
i,Other/mixed,0.18922080392661128,0.14900873813294654,0.10214742853624707,-0.045341519088133525,0.15286715507490245,0.3834000129659943,-0.2345623230147448,0.13226344209636645,0.038160536446173975,0.2345623230147448,0.13226344209636645,0.038160536446173975,5.410239015323984,446,5.634132460413127,731,5.3586318137535205,653
we,Other/mixed,0.03552351508902101,0.03362135530976951,0.1454224264716934,0.05162162500720287,0.034414306512570554,0.0668929682575133,0.016098109918181856,0.030012275820455524,0.2958791824114045,-0.016098109918181856,0.030012275820455524,0.2958791824114045,0.3209992567430758,446,0.355019734924457,731,0.37128550907396135,653
you,Mid/After > Pre,0.25833512246381757,0.12893080158198933,0.022626276585905228,0.24175162522454768,0.1322124493933086,0.03381809500283282,-0.016583497239269884,0.11443056461524478,0.44239425184568737,0.016583497239269884,0.11443056461524478,0.44239425184568737,2.190418891421533,446,2.489417375600785,731,2.4588569037802888,653
shehe,Other/mixed,-0.05853037270039368,0.05306874165775537,0.13510441563844736,0.02843700409045802,0.05438506965954194,0.3005596943519351,0.0869673767908517,0.04723539928027875,0.03288093214492323,-0.0869673767908517,0.04723539928027875,0.03288093214492323,0.6139212417747718,446,0.5589672794391529,731,0.6472270750989144,653
they,No change,0.018125420993164006,0.037112819877859915,0.3126671582874526,0.016968762308693867,0.038017502439122886,0.3277019930498344,-0.0011566586844701382,0.0330585360412401,0.486046485944821,0.0011566586844701382,0.0330585360412401,0.486046485944821,0.6234828098189366,446,0.6443380011213435,731,0.6427833872536363,653
ipron,Other/mixed,0.22104664084896958,0.12023593529976505,0.03307986420156734,0.09777063247861273,0.12333598591245006,0.2140225880643259,-0.12327600837035685,0.10678269427118793,0.12423195843622664,0.12327600837035685,0.10678269427118793,0.12423195843622664,4.987564235988527,446,5.21725749758487,731,5.0959685705232225,653
det,Other/mixed,-0.23857654018576116,0.17996086836731637,0.09255018480591998,-0.29556104195725935,0.18458978702302356,0.05475522826468671,-0.05698450177149819,0.15981293043536846,0.3607274447140041,0.05698450177149819,0.15981293043536846,0.3607274447140041,12.191495311887937,446,11.976348407496003,731,11.91770159067607,653
article,No change,-0.06955847993934883,0.1262064530711303,0.29079968342416157,0.041496953284768344,0.12936943354972336,0.37421326741408006,0.11105543322411718,0.11227065154120287,0.16135401229039803,-0.11105543322411718,0.11227065154120287,0.16135401229039803,5.435731207735016,446,5.368718983787431,731,5.484428203300785,653
number,Other/mixed,-0.36766477928998237,0.18479514508681993,0.02339302667167736,-0.27668121299527226,0.1890518586319588,0.07174855493292878,0.0909835662947101,0.16475110883218314,0.2904228008200286,-0.0909835662947101,0.16475110883218314,0.2904228008200286,2.734187992916717,446,2.3353136722873105,731,2.434959107297021,653
prep,Other/mixed,0.2945506591714322,0.1774760013057027,0.04857676886784093,0.08759307367420338,0.18198728644420886,0.3151754063729121,-0.2069575854972288,0.1577237371544563,0.09481676929920099,0.2069575854972288,0.1577237371544563,0.09481676929920099,10.845722267296559,446,11.155660577056505,731,10.930647187895946,653
auxverb,Other/mixed,0.561273481291304,0.16125713168934508,0.0002560106282319551,0.11136127314696963,0.16542014712658426,0.2504517760291388,-0.4499122081443344,0.14304546296018728,0.0008431126878737335,0.4499122081443344,0.14304546296018728,0.0008431126878737335,8.524263781566484,446,9.145798335200999,731,8.643796427795637,653
adverb,Other/mixed,0.22442887137605266,0.14003234857103944,0.054587649178952605,-0.006000634668711264,0.143441685021026,0.4833180920005712,-0.23042950604476392,0.12453110650649052,0.03221028251459312,0.23042950604476392,0.12453110650649052,0.03221028251459312,5.937167604848456,446,6.195848227090476,731,5.943330454535194,653
conj,Other/mixed,0.3320095607810696,0.11274952894697385,0.0016369479385562901,0.09719401862747573,0.11567936017337523,0.2004525641363265,-0.23481554215359385,0.0997561903180895,0.009341636394552244,0.23481554215359385,0.0997561903180895,0.009341636394552244,5.343280120888133,446,5.7662640742386975,731,5.491163125924076,653
